356887.79,5645237.88,44.57
356888.97,5645001.02,47.81
356893.16,5645158.86,41.85
356896.13,5645333.03,39.46
356896.56,5645051.97,42.78
356897.27,5645053.94,41.98
356897.99,5645227.33,39.47
356898.13,5645158.54,41.39
356898.99,5645017.57,39.48
356899.57,5645049.65,39.43
356900.15,5645167.14,41.49
356900.29,5645165.49,43.12
356900.72,5645407.4,39.44
356901.72,5645105.15,39.42
356902.44,5645338.79,39.5
356903.61,5645147.57,43.65
356904.32,5645051.82,41.1
356904.46,5645084.19,39.49
356906.83,5645457.58,39.51
356907.11,5645023.5,39.45
356907.65,5645250.38,42.26
356908.19,5645147.86,46.02
356909.02,5645239.93,46.83
356909.56,5645022.83,39.51
356910.1,5645252.02,42.24
356910.24,5645008.84,39.51
356910.65,5645229.28,40.82
356911.05,5645152.89,41.75
356911.73,5645396.56,41.17
356911.87,5645018.45,39.47
356912.01,5645320.93,42.27
356912.57,5645426.87,39.45
356913.42,5645138.7,39.5
356913.71,5645077.43,39.5
356914.14,5645310.08,43.07
356914.59,5645111.91,39.47
356917.24,5645420.38,39.43
356918.05,5645526.69,39.4
356918.55,5645501.77,39.49
356919.04,5645337.74,39.49
356920.03,5645010.73,39.43
356920.69,5645548.98,39.52
356921.36,5645236.38,39.49
356923.58,5645545.13,39.48
356925.14,5645369.28,39.48
356926.03,5645458.33,39.52
356926.39,5645394.94,39.48
356928.0,5645310.58,39.46
356928.9,5645318.7,39.5
356930.16,5645508.93,39.51
356930.36,5645001.35,39.47
356931.27,5645340.15,39.47
356931.83,5645329.58,39.45
356932.21,5645031.24,39.48
356932.78,5645000.71,39.51
356932.97,5645196.81,39.56
356933.36,5645509.34,39.4
356933.74,5645477.33,39.5
356936.1,5645037.76,39.49
356937.31,5645091.7,39.48
356938.12,5645549.61,39.44
356938.54,5645379.33,39.45
356941.12,5645562.9,39.47
356941.78,5645506.1,39.5
356944.0,5645091.61,39.49
356945.11,5645543.2,39.43
356945.77,5645470.63,39.45
356946.22,5645259.98,39.46
356946.89,5645471.34,39.43
356949.18,5645344.38,39.44
356949.87,5645547.73,39.44
356951.76,5645348.99,39.51
356951.99,5645469.55,39.51
356952.23,5645032.54,39.55
356953.18,5645044.43,39.5
356953.65,5645364.98,39.48
356954.62,5645097.01,39.44
356955.11,5645480.61,39.51
356955.85,5645019.13,39.46
356956.11,5645011.93,39.47
356957.11,5645240.64,39.5
356957.36,5645090.11,39.44
356957.6,5645423.92,39.54
356957.85,5645448.46,39.46
356958.84,5645638.24,39.54
356959.09,5645318.88,39.45
356959.58,5645457.01,39.45
356959.83,5645491.59,39.46
356960.8,5645107.44,39.48
356961.8,5645031.03,39.48
356962.05,5645082.75,39.45
356962.56,5645469.95,39.52
356962.81,5645484.32,39.43
356963.33,5645711.76,39.44
356964.63,5645547.96,39.42
356964.89,5645515.58,39.47
356965.16,5645254.15,39.43
356965.95,5645547.75,39.43
356968.08,5645576.89,39.45
356968.35,5645038.3,39.52
356968.89,5645581.35,39.39
356969.45,5645617.23,39.35
356970.55,5645257.86,39.49
356970.82,5645358.79,39.5
356971.37,5645692.85,39.5
356971.64,5645453.54,39.38
356972.72,5645611.07,39.39
356974.37,5645746.68,39.4
356974.91,5645538.79,39.44
356975.2,5645736.82,39.48
356975.47,5645640.13,39.4
356975.75,5645348.98,39.49
356976.03,5645031.94,39.46
356976.87,5645215.59,39.44
356979.41,5645252.37,39.46
356980.29,5645588.15,39.42
356980.58,5645074.01,39.46
356981.18,5645764.07,39.41
356982.05,5645591.09,39.44
356982.35,5645697.83,39.42
356983.49,5645583.25,39.39
356984.64,5645207.75,39.51
356984.93,5645776.38,39.39
356985.81,5645444.75,39.53
356986.41,5645133.92,39.44
356986.71,5645071.38,39.45
356987.01,5645776.83,39.49
356987.31,5645678.46,39.46
356987.89,5645764.79,39.43
356988.49,5645578.95,39.45
356988.78,5645188.02,39.52
356999.73,5645386.84,39.46
356999.73,5645583.88,39.51
356999.74,5645009.26,39.44
356999.74,5645131.18,39.48
356999.74,5645344.64,39.49
356999.74,5645630.51,39.42
356999.74,5645805.94,39.44
356999.75,5645322.62,39.46
356999.75,5645476.07,39.45
356999.75,5645655.19,39.34
356999.75,5645809.46,39.48
356999.76,5645034.81,39.53
356999.76,5645088.93,39.45
356999.76,5645561.3,39.37
356999.76,5645767.63,39.47
356999.77,5645019.38,39.48
356999.77,5645162.49,39.52
356999.77,5645525.96,39.45
356999.77,5645695.56,39.53
356999.77,5645760.97,39.44
356999.78,5645112.33,39.53
356999.78,5645246.85,39.52
356999.78,5645323.05,39.47
356999.78,5645547.6,39.48
356999.78,5645733.92,39.35
356999.79,5645008.85,39.47
356999.79,5645440.91,39.41
356999.79,5645576.17,39.43
356999.79,5645781.75,39.4
356999.8,5645102.64,39.43
356999.8,5645426.19,39.42
356999.8,5645510.39,39.42
356999.8,5645634.05,39.38
356999.8,5645727.24,39.39
356999.81,5645088.51,39.46
356999.81,5645387.71,39.46
356999.81,5645590.22,39.36
356999.82,5645064.06,39.53
356999.82,5645308.48,39.46
356999.82,5645490.1,39.46
356999.82,5645803.0,39.39
356999.83,5645059.18,39.54
356999.83,5645461.74,39.49
356999.83,5645618.97,39.39
356999.83,5645819.53,39.41
356999.84,5645116.46,39.49
356999.84,5645454.19,39.55
356999.84,5645518.19,39.39
356999.84,5645582.58,39.42
356999.84,5645744.71,39.52
356999.84,5645815.82,39.43
356999.85,5645003.32,39.54
356999.85,5645093.13,39.5
356999.85,5645316.15,39.45
356999.85,5645345.93,39.49
356999.85,5645714.56,39.44
356999.85,5645796.07,39.44
356999.86,5645191.46,39.45
356999.86,5645604.77,39.51
356999.86,5645750.99,39.38
356999.87,5645074.06,39.44
356999.87,5645496.13,39.41
356999.88,5645018.55,39.52
356999.88,5645068.61,39.49
356999.88,5645200.0,39.45
356999.88,5645331.51,39.45
356999.88,5645509.52,39.42
356999.88,5645560.0,39.46
356999.88,5645636.29,39.46
356999.88,5645764.83,39.44
356999.89,5645546.31,39.49
356999.9,5645143.42,39.43
356999.9,5645369.2,39.51
356999.9,5645792.87,39.44
356999.91,5645101.8,39.46
356999.91,5645418.07,39.45
356999.91,5645495.7,39.43
356999.91,5645810.29,39.4
356999.92,5645087.67,39.48
356999.92,5645324.76,39.47
356999.92,5645389.72,39.37
356999.92,5645530.61,39.49
356999.92,5645646.64,39.46
356999.92,5645772.16,39.48
356999.93,5645018.13,39.5
356999.93,5645063.23,39.47
356999.93,5645269.57,39.38
356999.93,5645699.35,39.46
356999.94,5645263.5,39.46
356999.94,5645368.74,39.53
356999.94,5645754.73,39.34
356999.95,5645111.07,39.54
356999.95,5645332.37,39.5
356999.95,5645439.15,39.49
356999.95,5645566.52,39.42
356999.96,5645124.42,39.47
356999.96,5645445.72,39.54
356999.96,5645523.79,39.51
356999.96,5645728.07,39.35
356999.97,5645138.22,39.51
356999.97,5645724.9,39.41
356999.98,5645022.62,39.46
356999.98,5645263.93,39.48
356999.98,5645488.35,39.39
356999.98,5645775.91,39.43
356999.99,5645067.78,39.48
356999.99,5645340.81,39.48
356999.99,5645537.61,39.41
356999.99,5645617.18,39.55
356999.99,5645768.86,39.42
